ra,dec,x,y,z,mag
334.980733,12.451870,-0.387889,0.914598,-0.114251,7.535843
276.577507,-13.360839,0.695845,0.082037,-0.713491,7.535909
272.945755,-43.082144,-0.578799,0.226365,0.783422,7.535930
9.404670,59.170197,0.867612,-0.017448,0.496935,7.536149
166.137232,-30.842584,-0.784095,0.301579,0.542443,7.536209
287.526205,2.576710,-0.059479,0.842554,0.535317,7.536314
226.853200,0.029309,0.790554,0.611691,0.029305,7.536491
349.017635,-35.683156,0.411261,0.127601,0.902542,7.536495
187.222274,-37.966973,0.282688,-0.921975,-0.264669,7.536783
118.450785,-62.379857,0.537988,-0.720977,0.436762,7.536794
277.727153,-35.321571,-0.215994,-0.688975,0.691852,7.536822
299.852200,-8.089380,0.039435,0.229872,-0.972422,7.536863
13.330561,33.924157,-0.581916,-0.557743,0.591858,7.537124
208.924184,-44.649163,-0.006500,0.785737,-0.618527,7.537168
102.112639,33.822228,0.008067,-0.741592,0.670803,7.537406
166.438832,30.595833,-0.680686,0.044703,-0.731210,7.537629
75.760970,81.273764,0.858315,0.325766,-0.396449,7.537665
282.577381,30.376796,0.500005,-0.083750,-0.861964,7.537797
197.975105,-24.569060,-0.844027,-0.046272,0.534301,7.538109
70.574254,47.586513,-0.099645,-0.889320,-0.446297,7.538431
9.236616,-3.400790,0.949535,-0.180805,0.256305,7.538624
345.259767,22.391342,-0.875548,0.285709,-0.389597,7.538675
92.122550,35.139953,0.439662,0.710024,-0.550058,7.538682
259.999913,-0.325812,-0.691723,0.647355,-0.320079,7.539017
333.870113,40.868586,-0.651205,-0.758390,-0.027878,7.539271
255.105571,-37.937312,-0.781436,-0.577653,-0.235954,7.539370
161.025050,3.225597,0.691511,0.717476,-0.083906,7.539391
163.118846,-33.655011,-0.601293,0.149680,-0.784884,7.539638
5.843700,59.595257,-0.900890,0.423555,0.094861,7.539671
302.106014,58.787239,-0.539493,-0.303983,0.785201,7.539755
332.762543,-40.281328,-0.822011,0.206638,-0.530658,7.540207
141.390042,-69.637087,-0.866653,-0.015925,-0.498657,7.540224
258.261945,-58.911345,-0.565973,-0.431459,-0.702508,7.540314
90.118771,35.312160,0.401303,-0.608025,-0.685027,7.540320
326.451310,74.579072,0.657308,-0.184980,-0.730567,7.540596
67.692568,40.146529,-0.113583,0.760142,0.639752,7.540641
56.302883,-51.259786,0.528705,-0.132629,-0.838379,7.541044
285.840361,31.676533,-0.965274,0.043052,0.257667,7.541164
84.237036,-47.964695,0.555616,-0.368778,0.745180,7.541458
339.330497,-44.665173,0.775186,0.029852,-0.631027,7.541484
218.899755,3.467494,-0.502475,0.803128,-0.320163,7.541761
222.064427,52.625864,0.390404,-0.593104,0.704140,7.541765
119.591364,-59.697446,-0.977830,-0.209279,0.007185,7.541877
356.102316,57.759026,-0.159238,-0.314689,0.935743,7.542210
64.577431,-38.109644,-0.159444,0.902939,-0.399097,7.542437
254.793249,-53.023746,0.879098,0.295471,-0.374010,7.542530
270.768080,-8.340142,-0.387955,-0.260383,-0.884133,7.542688
335.277883,1.034563,-0.328454,0.391330,0.859639,7.542721
158.194205,-43.627625,0.413141,0.841848,0.347283,7.542767
27.924018,53.867302,0.841535,-0.307486,-0.444152,7.542828
15.174560,43.113177,-0.555827,0.328214,-0.763761,7.542934
153.680830,5.749369,-0.832552,0.218992,-0.508823,7.543353
289.269890,46.413353,-0.735675,-0.182659,0.652241,7.543371
7.462476,-0.320742,0.362121,0.877196,-0.315271,7.543608
63.574383,78.374704,-0.726740,-0.666958,0.164363,7.543930
132.186902,12.595963,0.970910,0.237609,0.029589,7.544042
283.647476,-28.703744,-0.562223,-0.714542,0.416334,7.544299
105.057414,0.083399,-0.184228,-0.979347,0.083302,7.544440
328.120931,-27.315245,-0.100268,-0.565445,-0.818669,7.544796
96.542679,55.703768,-0.439748,0.497253,-0.747904,7.544837
140.446026,18.745862,-0.598091,0.794716,-0.103508,7.544875
75.337829,-31.393464,0.997925,-0.060343,0.022460,7.544918
170.725124,-59.738877,-0.471546,-0.880501,0.048597,7.545073
36.117887,-13.293266,-0.007793,-0.747200,-0.664553,7.545150
136.985297,-50.483021,0.312724,-0.924999,-0.215826,7.545677
45.899401,36.441802,-0.104671,0.290070,-0.951264,7.545925
268.934172,-44.930218,0.187934,-0.552272,-0.812205,7.546105
202.709022,-63.622932,-0.053590,0.701033,-0.711112,7.546299
264.752410,-28.412883,-0.647215,-0.749693,0.138106,7.546324
156.066339,-53.727765,-0.502096,0.805317,0.315221,7.546530
52.708703,-37.372383,-0.725372,0.608956,0.320947,7.546578
109.305252,31.961375,-0.680314,0.517705,0.518801,7.546754
315.642678,-15.474287,-0.084901,-0.969110,-0.231556,7.546998
322.640691,30.474450,-0.345551,0.476486,-0.808428,7.547333
32.520744,54.331242,-0.270702,-0.538262,-0.798119,7.547411
157.111204,81.187516,0.880055,0.027794,-0.474057,7.547673
272.634199,-28.153520,0.769175,-0.627571,-0.120520,7.548041
139.731924,-56.058867,0.060794,0.880330,0.470450,7.548061
337.242991,50.963125,-0.352678,-0.680385,0.642413,7.548097
30.479462,-50.127070,0.586972,-0.797764,0.137971,7.548137
35.260684,37.069969,-0.616748,-0.522825,-0.588452,7.548409
78.971706,34.422609,0.899924,0.414784,0.134502,7.548424
94.209109,-15.125702,-0.834597,0.032290,-0.549914,7.548520
336.348344,74.828198,-0.825450,-0.165549,-0.539654,7.548552
259.276740,-30.766015,-0.075794,0.792521,0.605116,7.548562
209.923027,42.049929,0.299018,-0.189006,-0.935342,7.548604
157.259061,-22.253052,-0.950392,-0.172381,0.258920,7.548644
293.065725,-31.075716,-0.587747,-0.737026,0.333685,7.548711
158.029640,-2.657521,-0.514847,-0.719964,-0.465387,7.548817
275.811091,-28.412403,-0.789069,0.598688,0.137631,7.549173
38.597943,19.984766,0.262670,0.330212,0.906623,7.549268
320.535801,57.334763,0.703537,0.065867,0.707599,7.549369
238.089580,28.607493,-0.739864,0.587922,-0.327030,7.549495
265.656425,75.539422,-0.188774,0.971885,0.140729,7.549589
196.446516,-35.111877,0.082323,-0.846244,0.526397,7.549626
82.760241,40.031012,-0.325796,-0.607925,0.724075,7.549820
98.990766,-3.977651,-0.020509,0.670079,0.742007,7.549915
313.607451,12.074383,0.750575,-0.462057,-0.472379,7.550057
45.888742,14.470564,0.107792,-0.308993,0.944936,7.550071
204.680537,9.980822,0.754537,0.389961,-0.527830,7.550146
353.129175,43.206451,0.210950,0.681947,-0.700320,7.550168
33.897270,16.194940,0.698022,-0.542017,-0.467957,7.550374
129.444155,26.237545,-0.360696,-0.267913,0.893376,7.550375
125.772907,-34.232113,-0.941877,-0.103265,-0.319694,7.550782
286.606598,-13.455782,-0.472847,-0.416115,-0.776701,7.550965
18.465273,5.141754,0.385933,-0.156066,-0.909230,7.551000
32.527533,58.937576,-0.323489,-0.654252,0.683600,7.551360
94.004120,6.535870,0.939644,-0.233595,0.250005,7.551415
175.455231,-22.652755,-0.702033,0.360111,0.614385,7.551465
66.381909,-34.845385,0.879969,0.380856,0.283907,7.551652
87.299125,56.954693,0.722673,-0.567230,0.394960,7.552128
268.230238,30.978465,-0.332567,-0.842572,-0.423641,7.552142
266.804703,-36.985954,-0.736268,0.172914,0.654225,7.552281
249.106163,-43.744810,-0.588551,-0.773473,0.235261,7.552357
25.342457,-0.506653,0.855216,0.182028,-0.485253,7.552576
300.261588,53.507330,-0.236016,0.966581,-0.100087,7.552722
97.300377,-40.380260,0.892310,-0.079622,-0.444346,7.553279
263.559068,-35.733770,-0.363056,0.126271,0.923172,7.553446
254.637632,-45.920456,0.354061,0.060277,-0.933278,7.553591
279.750749,-46.942863,0.972760,0.146026,-0.180040,7.553702
95.697344,-24.878170,0.117038,0.960668,0.251831,7.553818
257.104109,-12.033363,0.753152,-0.417816,0.508126,7.553827
127.350026,13.137698,-0.096960,0.835577,0.540749,7.554237
294.192390,6.421707,0.433897,-0.890319,0.138079,7.554237
161.279477,-31.337427,-0.488886,-0.868816,0.078419,7.554381
